variable,n,coef,se,OR,OR_CI_low,OR_CI_high,p_value,note
lesion_range_mm,2208,0.011984518324509145,0.002690136809545743,1.0120566204126156,1.0067345226614852,1.0174068534107599,8.389917818793864e-06,
ffrct_value,2208,-1.8460757797232337,0.4175766094917538,0.1578554118624067,0.06963340324344615,0.35785025423980477,9.827829507183581e-06,
ffrct_risk_class,2208,0.1990279022895798,0.04642606509115712,1.2202160122454084,1.114086165953986,1.3364559780392986,1.811135060819101e-05,
napkin_ring_sign_flag,2208,0.5047750834498436,0.11854315075463347,1.6566128789021273,1.3131578084962148,2.0898982687291427,2.061212253766492e-05,
spotty_calcification_flag,2208,0.4624420403317005,0.12081265325448834,1.587947084762368,1.2531414906863663,2.012203699858501,0.00012931389115012167,
fibrotic_volume_mm3,2208,0.0025019007979191696,0.0006641009589629943,1.002505033163465,1.001201007468791,1.0038107573013086,0.000164989563558222,
positive_remodeling_flag,2208,0.5452717556036812,0.14964700691345328,1.725077118056391,1.28655616842597,2.3130673469799463,0.0002687260065112921,
low_attenuation_volume_ratio,2208,1.993350238319277,0.5554030241649958,7.340083644862133,2.4713889339934414,21.800222204003592,0.00033192870455971433,
calcified_plaque_burden,2208,2.784396916450449,0.811381019526537,16.190050978519313,3.300649741445658,79.41398549373152,0.0005998633576315166,
fibrotic_volume_ratio,2208,-1.4612068198353905,0.4663638410767604,0.23195617643500166,0.09299001547859861,0.5785961805622925,0.0017291709412389671,
history_diabetes_new,2208,0.34773542889992215,0.12066888629718693,1.4158576051779914,1.1176505487854722,1.79363107754814,0.003954955679815994,
non_calcified_mean_hu,2208,-0.003157393216656835,0.0011690251053323544,0.9968475861073656,0.994566176597638,0.9991342288830874,0.006915687404105661,
calcified_volume_mm3,2208,0.0016327436471883607,0.0006300621816491905,1.0016340772988355,1.00039792361374,1.0028717584520486,0.009558609246626697,
baseline_hdl_cholesterol,1846,-0.5788836348111268,0.23545784249503746,0.5605237666336237,0.3533230354297834,0.889234104362788,0.013950140231771465,
remodeling_index,2208,0.0009807541709316338,0.00040909921811125736,1.0009812352675698,1.0001789504470513,1.0017841636338587,0.016514123286932293,
baseline_hba1c,1818,0.11416268301966175,0.04920809610787462,1.1209344670557069,1.0178744565518818,1.2344293260781096,0.020340987216933237,
history_diabetes_new_py,1818,0.30599696982154523,0.13264492030331693,1.3579781916253997,1.047092947788054,1.7611662582827967,0.02106106681595291,
baseline_wbc,1839,0.08624148579418797,0.037891234438367484,1.0900695328306285,1.0120480307609128,1.1741059221390828,0.022844372889494393,
low_attenuation_plaque_flag,2208,0.363361136837542,0.1599399020539406,1.438155136268341,1.0511498803706822,1.967645370654125,0.023094940725894422,
history_smoking,2208,0.26586950054579844,0.11843415692936032,1.3045648025832974,1.0343185648413744,1.6454208422723264,0.024776362949976,
low_attenuation_mean_hu,2208,-0.01574156572628964,0.007020115894321938,0.9843816851513958,0.9709301591075034,0.99801957223394,0.02493867918713057,
contact_volume_mm3,2208,0.00015855683631206535,7.267708652515361e-05,1.0001585694071116,1.0000161124940263,1.000301046613842,0.029134489064069097,
fibrotic_mean_hu,2208,-0.0035655221724244786,0.001951364093859361,0.9964408267537693,0.9926371143172303,1.00025911473669,0.06767049721263713,
baseline_lvef,2036,-0.016478792893462362,0.009257304738290582,0.9836562396721497,0.965969733757512,1.0016665781878893,0.0750619875993604,
fibrous_fatty_volume_ratio,2208,0.4897471130857966,0.291193115393576,1.631903480733884,0.9222113003187772,2.8877427217719185,0.09259528466230518,
baseline_crp,1831,0.01232332521882291,0.007562247325307034,1.0123995702666542,0.9975047112406881,1.0275168410997055,0.10318922525936701,
baseline_albumin,1844,-0.023312243258611372,0.01574197225116108,0.9769573877853865,0.9472749008461412,1.007569963793931,0.13863395863172548,
baseline_triglycerides,1846,0.06384018288167374,0.044086643637218696,1.0659220325605459,0.9776847026578441,1.1621228975039335,0.1475997782588453,
baseline_lipoprotein_a,1838,0.0012912289805297858,0.000891848768439368,1.0012920629755908,0.9995433418148355,1.0030438435591547,0.14766975141203637,
baseline_ldl,1846,0.10837792480691616,0.0764874181339413,1.114468851233699,0.9593160848639255,1.294714891126149,0.15650107228060617,
baseline_ck,1829,0.0011605733537709008,0.0008533727339018029,1.0011612470796365,0.9994881245828799,1.002837170348929,0.17383495390570292,
baseline_total_cholesterol,1846,0.08572354423823615,0.0639548088570555,1.0895050867083682,0.9611492474424622,1.235002094754767,0.1801228631964612,
calcified_volume_ratio,2208,-0.3679718728574237,0.27616462173702655,0.6921366492411613,0.4028284116426488,1.1892238168338358,0.18271673430695845,
non_calcified_volume_ratio,2208,0.3679718725556021,0.27616462174457007,1.4448013998313043,0.8408846051753085,2.4824465474894772,0.18271673467783478,
eccentricity_index,2208,-0.3237098044536902,0.24422252581919543,0.7234601568356955,0.44826210615171386,1.1676083955032923,0.1850150782317238,
fibrous_fatty_mean_hu,2208,-0.0050057473634613795,0.003798713335742346,0.9950067605107494,0.9876261054000296,1.0024425721929346,0.18758797964555507,
baseline_creatinine,1847,-0.0030719223703947773,0.0023439014987272824,0.9969327911553664,0.9923634230660799,1.0015231990414148,0.18999220861851795,
baseline_ctnt,1844,1.282903648054601,1.0218616513324197,3.607098278141293,0.48679685145067536,26.72810629196979,0.20931280733777302,
baseline_uric_acid,1847,-0.0008331285238093738,0.0007534203957661871,0.9991672184313998,0.9976928601829886,1.000643755438757,0.26881524973656457,
history_hypertension,2184,0.1380172737606022,0.13096644945320055,1.1479953803002803,0.8880988271465381,1.4839490301154628,0.2919576078830227,
新发糖尿病,2208,0.23775489849527276,0.229857217592556,1.268398268398267,0.8083525676161374,1.990262951746706,0.30096833005406054,
history_pci,2208,0.12965049980170568,0.15373461965994828,1.138430432124889,0.8422622790726204,1.5387414122535075,0.39903851553906633,
baseline_ck_mb,1620,-0.010298298857345047,0.012686114529713266,0.9897545470590767,0.9654483960550838,1.014672630279274,0.4169194723794971,
history_cabg,2208,0.4552266176672289,0.5700387146769456,1.576530612244899,0.515803844086967,4.818592959005201,0.4245287979976671,
pcat_hu_high_risk_flag,2208,0.10541153997092398,0.13234354231462753,1.1111678062387333,0.8572917071587935,1.4402261019337037,0.4257418771361191,
lumen_volume_mm3,2208,0.00030133354945478314,0.0004010688307342808,1.0003013789549695,0.9995153705566974,1.0010880054619973,0.45245632177647954,
baseline_pdw,1836,-0.0195916762024634,0.027343646701619373,0.980598993475944,0.929429577127087,1.0345855239278148,0.473683720785131,
baseline_lv_end_diastolic_diameter,2041,-0.00937208153613987,0.013106112837197237,0.9906716995399943,0.9655478768940634,1.0164492509957017,0.4745519567336216,
sex,2208,0.1010456645065518,0.14370499370253784,1.1063271604938272,0.8347600609763233,1.4662414306391331,0.4819644511177482,
baseline_platelet_count,1839,0.0007721875119220668,0.00116681410237891,1.0007724857254527,0.9984864205131824,1.0030637849539776,0.5081049329669025,
vessel_volume_mm3,2208,6.714958879165657e-05,0.00011195825563980445,1.0000671518433757,0.9998477270346707,1.00028662480666,0.5486572325040759,
age_years,2208,-0.0036996875892049393,0.006300548762644926,0.9963071478226961,0.984079555367938,1.0086866731333133,0.5570688215488718,
baseline_nt_pro_bnp,1843,-3.467674218708111e-05,5.976983224993067e-05,0.9999653238590441,0.9998481880638395,1.0000824733771267,0.5617990954227868,
mean_hu（pcat_hu）,2208,0.0028808256899190265,0.005257887530552725,1.0028849792558556,0.9926030486009536,1.0132734158278422,0.5837567668336275,
baseline_lymphocyte_pct,1839,0.003975181805834496,0.008137469368192395,1.0039830933207923,0.9880974375636908,1.0201241429785757,0.6251932873947292,
max_hu,2208,-0.24046978222691082,0.5038278577298629,0.7862584040671922,0.2928911508523122,2.11068950416331,0.6331587623756982,
std_hu,2208,-0.005015079224168051,0.010582933843876138,0.9949974752895825,0.9745716397122773,1.0158514115236583,0.6355828853506309,
baseline_ldl_cat,1846,0.030264776057165783,0.07303939421922688,1.0307274097660024,0.8932490853245058,1.1893647703618715,0.6786087474750568,
baseline_ldl_level,1846,0.030264776057165783,0.07303939421922688,1.0307274097660024,0.8932490853245058,1.1893647703618715,0.6786087474750568,
lipid_response_grade,1817,0.02298428989496116,0.059113367975767356,1.0232504640486726,0.911306693648523,1.148945266695969,0.697411430407612,
baseline_lv_end_systolic_diameter,2041,0.004570651171876463,0.013409756312779434,1.004581112530278,0.9785220203172242,1.0313341863532175,0.733220115445274,
min_hu,2208,-0.0010052833025973784,0.0029589493855650606,0.9989952218253821,0.993218382134689,1.0048056612534664,0.7340498317535189,
baseline_alt,1663,0.001113765991764188,0.003808719958006784,1.001114386459437,0.9936689382101898,1.0086156226049348,0.7699614835607671,
calcified_mean_hu,2208,-6.812429837944333e-05,0.00024179087714361184,0.9999318780220279,0.9994581211600266,1.0004058594512817,0.7781361044375221,
baseline_neutrophil_pct,1839,0.0005151898964045734,0.007168961232230357,1.0005153226295125,0.9865554799466301,1.014672698255744,0.9427101768145717,
baseline_mcv,1839,-0.0006005245199256167,0.015258501998109788,0.9993996557588348,0.9699539926238476,1.0297392242584607,0.9686059892922052,
